Experiment,Train Accuracy,Test Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),False Alarm Rate (%),Detection Rate (%),MCC,Inference Latency (ms),Throughput (Packets/Sec),Precision (Weighted),Recall (Weighted),F1-Score (Weighted)
cic_ids2018_cnn_balanced_100ep,98.48,98.34,98.38,98.85,98.56,0.12,98.85,0.982,0.0181,55376.59,98.5,98.34,98.37
cic_ids2018_cnn_balanced_200ep,98.93,98.86,98.87,99.22,99.03,0.08,99.22,0.9876,0.0175,57038.37,98.93,98.86,98.88
cic_ids2018_cnn_balanced_50ep,98.03,98.27,98.35,98.8,98.53,0.12,98.8,0.9812,0.0178,56198.84,98.41,98.27,98.3
cic_ids2018_proposed_balanced_100ep,99.07,98.34,98.46,98.63,98.54,0.12,98.63,0.9819,0.034,29409.9,98.37,98.34,98.35
cic_ids2018_proposed_balanced_200ep,99.21,98.93,98.97,99.17,99.06,0.08,99.17,0.9883,0.0329,30411.23,98.96,98.93,98.94
cic_ids2018_proposed_balanced_50ep,98.87,97.94,97.98,98.1,98.01,0.15,98.1,0.9775,0.0331,30247.38,98.01,97.94,97.95
cic_ids2018_resnet-gru_balanced_100ep,98.92,98.87,98.88,99.17,99.01,0.08,99.17,0.9877,0.0226,44285.27,98.92,98.87,98.88
cic_ids2018_resnet-gru_balanced_200ep,99.17,99.07,99.06,99.36,99.2,0.07,99.36,0.9898,0.0223,44882.94,99.12,99.07,99.08
cic_ids2018_resnet-gru_balanced_50ep,98.52,98.54,98.56,99.05,98.76,0.1,99.05,0.9841,0.0228,43869.14,98.68,98.54,98.56
cic_ids2018_resnet_balanced_100ep,98.16,98.27,98.33,99.03,98.57,0.12,99.03,0.9813,0.0163,61462.01,98.6,98.27,98.32
cic_ids2018_resnet_balanced_200ep,98.74,98.81,98.79,99.29,98.99,0.08,99.29,0.9871,0.0162,61914.38,98.95,98.81,98.83
cic_ids2018_resnet_balanced_50ep,97.53,97.53,97.92,97.6,97.73,0.18,97.6,0.9731,0.0222,45060.59,97.48,97.53,97.48
cic_iot2023_cnn_balanced_100ep,94.65,81.38,87.27,83.56,80.83,0.97,83.56,0.817,0.0176,56810.75,88.22,81.38,79.34
cic_iot2023_cnn_balanced_200ep,96.81,71.61,82.6,75.41,72.66,1.47,75.41,0.7304,0.0183,54522.55,83.46,71.61,70.07
cic_iot2023_cnn_balanced_50ep,92.84,85.41,87.3,84.21,82.1,0.78,84.21,0.8518,0.0188,53157.04,87.39,85.41,82.61
cic_iot2023_proposed_balanced_100ep,92.25,87.6,88.49,86.27,86.74,0.38,86.27,0.8721,0.0662,15102.43,88.85,87.6,87.39
cic_iot2023_proposed_balanced_200ep,93.56,91.21,90.59,89.62,89.81,0.27,89.62,0.9092,0.0603,16597.29,92.05,91.21,91.39
cic_iot2023_proposed_balanced_50ep,91.54,91.5,89.96,89.06,89.38,0.26,89.06,0.9119,0.0752,13295.74,91.59,91.5,91.44
cic_iot2023_resnet_balanced_100ep,90.75,91.77,92.85,91.77,91.88,0.25,91.77,0.9155,0.0186,53809.64,92.85,91.77,91.88
cic_iot2023_resnet_balanced_200ep,91.42,89.96,91.71,89.96,89.88,0.3,89.96,0.8973,0.0203,49204.27,91.71,89.96,89.88
cic_iot2023_resnet_balanced_50ep,84.52,69.11,63.02,53.16,51.05,0.95,53.16,0.6858,0.0164,61031.11,72.1,69.11,63.4
unsw_nb15_cnn_balanced_100ep,86.15,85.49,83.71,82.57,83.01,2.12,82.57,0.8273,0.0219,45582.58,85.69,85.49,85.5
unsw_nb15_cnn_balanced_200ep,86.81,86.36,86.94,81.87,82.98,2.04,81.87,0.8394,0.0216,46250.38,87.17,86.36,85.69
unsw_nb15_cnn_balanced_50ep,85.67,85.67,84.76,81.48,82.09,2.12,81.48,0.8305,0.0231,43370.99,85.97,85.67,85.05
unsw_nb15_dual-engine_raw_2ep,81.02,81.51,72.23,61.12,59.99,3.33,61.12,0.7588,0.3353,2982.77,81.49,81.51,78.78
unsw_nb15_proposed_balanced_200ep,88.28,87.16,86.75,83.64,84.62,1.9,83.64,0.848,0.0474,21108.19,87.61,87.16,86.92
unsw_nb15_proposed_balanced_50ep,87.5,87.28,87.89,83.47,84.36,1.89,83.47,0.8506,0.0477,20969.09,88.3,87.28,86.8
unsw_nb15_proposed_raw_2ep,81.09,81.58,62.23,52.05,51.88,3.0,52.05,0.7621,0.2113,4733.26,80.89,81.58,77.9
unsw_nb15_resnest_balanced_200ep,87.87,87.54,86.3,84.86,85.44,1.82,84.86,0.8519,0.0392,25492.22,87.72,87.54,87.52
unsw_nb15_resnet-gru_balanced_100ep,87.13,86.76,86.02,83.21,83.95,1.95,83.21,0.8432,0.0244,40955.78,87.09,86.76,86.41
unsw_nb15_resnet-gru_balanced_200ep,87.75,87.03,86.46,83.81,84.48,1.91,83.81,0.8467,0.0258,38799.69,87.5,87.03,86.76
unsw_nb15_resnet-gru_balanced_50ep,85.52,85.43,84.06,83.22,83.46,1.86,83.22,0.8298,0.0264,37826.27,85.67,85.43,85.43
unsw_nb15_resnet_balanced_100ep,84.94,84.07,81.47,81.38,81.01,2.3,81.38,0.8114,0.0198,50536.25,84.38,84.07,83.94
unsw_nb15_resnet_balanced_200ep,85.05,85.04,83.63,81.16,82.03,2.21,81.16,0.8218,0.0219,45567.45,85.17,85.04,84.83
unsw_nb15_resnet_balanced_50ep,84.13,83.27,82.34,79.97,80.1,2.44,79.97,0.8029,0.0198,50486.46,84.47,83.27,83.11
